,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
0,Male,24.0,-2.011181,16.575027,0.08059247,14.520953,14.73732,15.090328,15.741642,16.575027,17.557188,18.162195,18.609482,19.33801,19.859858
1,Male,24.5,-1.9823736,16.547775,0.080127425,14.503477,14.719293,15.071175,15.719628,16.547775,17.521294,18.119549,18.561106,19.278898,19.79194
2,Male,25.5,-1.9241002,16.494427,0.079234,14.468823,14.683608,15.033358,15.676345,16.494427,17.451351,18.03668,18.467297,19.16466,19.661024
3,Male,26.5,-1.865498,16.442596,0.078389354,14.434597,14.648434,14.996195,15.634035,16.442596,17.383837,17.957003,18.377361,19.055674,19.536575
4,Male,27.5,-1.807262,16.392244,0.0775935,14.400828,14.613787,14.95969,15.59268,16.392244,17.31871,17.88047,18.291254,18.951868,19.418488
5,Male,28.5,-1.7501189,16.343336,0.076846465,14.367547,14.579686,14.923845,15.5522585,16.343336,17.255932,17.807043,18.20892,18.853165,19.306654
6,Male,29.5,-1.6948159,16.295841,0.07614831,14.3347845,14.546149,14.88866,15.512751,16.295841,17.195461,17.736673,18.130314,18.759493,19.200968
7,Male,30.5,-1.6421068,16.249723,0.075499125,14.302568,14.513195,14.8541355,15.474135,16.249723,17.13726,17.669323,18.055382,18.670778,19.10132
8,Male,31.5,-1.5927445,16.204952,0.074898995,14.270928,14.480838,14.8202715,15.436393,16.204952,17.081295,17.604948,17.984077,18.586946,19.00761
9,Male,32.5,-1.5474424,16.161499,0.074347995,14.23989,14.449093,14.787068,15.399506,16.161499,17.027529,17.543509,17.916351,18.507921,18.919731
10,Male,33.5,-1.5069026,16.119333,0.07384614,14.209478,14.417975,14.754526,15.363453,16.119333,16.975925,17.484962,17.852154,18.43363,18.837582
11,Male,34.5,-1.47177,16.078428,0.07339337,14.179717,14.387498,14.722644,15.328221,16.078428,16.92645,17.42927,17.791433,18.364,18.761057
12,Male,35.5,-1.442629,16.03876,0.07298955,14.150627,14.357673,14.6914215,15.293795,16.03876,16.879074,17.376387,17.73414,18.298954,18.69006
13,Male,36.5,-1.4199913,16.000303,0.07263443,14.122228,14.328511,14.660861,15.2601595,16.000303,16.83376,17.326273,17.680223,18.238417,18.62449
14,Male,37.5,-1.4042776,15.963043,0.07232765,14.094534,14.300022,14.630962,15.227308,15.963043,16.790478,17.278889,17.62963,18.182314,18.564249
15,Male,38.5,-1.3958632,15.926954,0.07206864,14.067563,14.272218,14.601729,15.195229,15.926954,16.749195,17.234186,17.582306,18.130573,18.509245
16,Male,39.5,-1.3949353,15.892026,0.071856804,14.041323,14.245102,14.573163,15.163919,15.892026,16.709883,17.192125,17.538198,18.083113,18.459377
17,Male,40.5,-1.4016716,15.858241,0.071691275,14.015824,14.218684,14.545268,15.133374,15.858241,16.672506,17.152662,17.497253,18.039862,18.414557
18,Male,41.5,-1.4161003,15.825588,0.07157109,13.991074,14.19297,14.518048,15.103593,15.825588,16.637037,17.115751,17.459412,18.000742,18.374691
19,Male,42.5,-1.438165,15.794057,0.071495116,13.967074,14.167965,14.491509,15.074577,15.794057,16.603445,17.081347,17.42462,17.96568,18.339693
20,Male,43.5,-1.467669,15.763642,0.07146211,13.943827,14.143671,14.465658,15.046332,15.763642,16.571701,17.049404,17.392818,17.934593,18.309467
21,Male,44.5,-1.5043763,15.734337,0.07147065,13.921332,14.120092,14.440499,15.018863,15.734337,16.541775,17.019878,17.363947,17.90741,18.283932
22,Male,45.5,-1.5479429,15.706136,0.07151922,13.899587,14.097233,14.416042,14.992178,15.706136,16.513636,16.992722,17.337952,17.884052,18.262999
23,Male,46.5,-1.5978963,15.679041,0.07160628,13.878584,14.075089,14.392293,14.966288,15.679041,16.48726,16.967888,17.314768,17.864439,18.24658
24,Male,47.5,-1.6537323,15.653052,0.07173017,13.858315,14.053664,14.36926,14.941203,15.653052,16.462622,16.945332,17.29434,17.848495,18.234587
25,Male,48.5,-1.7148694,15.628173,0.071889214,13.838774,14.032955,14.346951,14.916939,15.628173,16.439697,16.92501,17.276608,17.836142,18.226936
26,Male,49.5,-1.7806731,15.604408,0.07208174,13.819947,14.0129595,14.325373,14.893509,15.604408,16.418459,16.906878,17.261509,17.8273,18.22354
